open_time,open,high,low,close,volume,RSI,Inverse_Fisher_RSI,MACD,MACD_signal,MACD_hist,upper_band,middle_band,lower_band,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786,ADX,Stochastic_%K,Stochastic_%D,ATR,ROC,CCI,Bollinger_Bands,Fibonacci,Volume_Avg,score,signal
2024-10-24 15:00:00+03:00,1.698,1.71,1.68,1.694,1944322.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.425136,2.209932,2.036,1.862068,1.614436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,Hold
2024-10-24 19:00:00+03:00,1.694,1.709,1.679,1.709,1241567.53,0.0,0.0,0.0011965811965812,0.0002393162393162,0.000957264957265,0.0,0.0,0.0,2.425136,2.209932,2.036,1.862068,1.614436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,Hold
2024-10-24 23:00:00+03:00,1.708,1.73,1.699,1.71,1137586.58,0.0,0.0,0.0022002094138848,0.0006314948742299,0.0015687145396548,0.0,0.0,0.0,2.425136,2.209932,2.036,1.862068,1.614436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,Hold
2024-10-25 03:00:00+03:00,1.71,1.742,1.7,1.732,1933338.29,0.0,0.0,0.0047164399611865,0.0014484838916212,0.0032679560695652,0.0,0.0,0.0,2.425136,2.209932,2.036,1.862068,1.614436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,Hold
2024-10-25 07:00:00+03:00,1.733,1.737,1.67,1.684,2230188.0,0.0,0.0,0.0028050372280334,0.0017197945589037,0.0010852426691297,0.0,0.0,0.0,2.425136,2.209932,2.036,1.862068,1.614436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,Hold
2024-10-25 11:00:00+03:00,1.685,1.731,1.668,1.72,2348541.16,0.0,0.0,0.0041473281097164,0.0022053012690662,0.0019420268406501,0.0,0.0,0.0,2.425136,2.209932,2.036,1.862068,1.614436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,Hold
2024-10-25 15:00:00+03:00,1.72,1.737,1.687,1.697,1895086.82,0.0,0.0,0.0033169596767363,0.0024276329506002,0.0008893267261361,0.0,0.0,0.0,2.425136,2.209932,2.036,1.862068,1.614436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,Hold
2024-10-25 19:00:00+03:00,1.698,1.712,1.629,1.643,3753017.08,0.0,0.0,-0.0016791062998349,0.0016062851005132,-0.0032853914003481,0.0,0.0,0.0,2.425136,2.209932,2.036,1.862068,1.614436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.5,Hold
2024-10-25 23:00:00+03:00,1.643,1.657,1.497,1.559,7513186.21,0.0,0.0,-0.0122751225914523,-0.0011699964378798,-0.0111051261535724,0.0,0.0,0.0,2.425136,2.209932,2.036,1.862068,1.614436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,Hold
2024-10-26 03:00:00+03:00,1.559,1.599,1.536,1.579,3130624.4,0.0,0.0,-0.0188415157248684,-0.0047043002952775,-0.0141372154295908,0.0,0.0,0.0,2.425136,2.209932,2.036,1.862068,1.614436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,Hold
