open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786,macd_signal,buy_signal,sell_signal
0.02,0.8776,0.02,0.7145,432392743.8,2024-12-09 15:00:00+03:00,2024-12-09 18:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.7145,0.866,0.7002,0.8327,274360255.3,2024-12-09 19:00:00+03:00,2024-12-09 22:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.8327,0.8411,0.666,0.7348,151853651.7,2024-12-09 23:00:00+03:00,2024-12-10 02:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.7352,1.111,0.7111,0.9159,340409018.8,2024-12-10 03:00:00+03:00,2024-12-10 06:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.9152,1.41,0.9038,1.0347,274070921.6,2024-12-10 07:00:00+03:00,2024-12-10 10:59:59.999000+03:00,,,,94.61312284624177,2.365328071156044,,,81.02713178294573,3.1027131782945734,,,0.02,1.41,73.0,2.3000000000000003,,,,,,,,,Hold (Hala Buy),False,False
1.0342,1.0389,0.8572,0.8865,145744414.7,2024-12-10 11:00:00+03:00,2024-12-10 14:59:59.999000+03:00,,,,3.375573289400943,0.0843893322350235,,,62.947907256850336,1.2947907256850335,,,0.666,1.41,29.63709677419354,-2.036290322580646,,,,,,,,,Hold (Hala Buy),False,False
0.8865,0.8891,0.6739,0.6923,192911416.0,2024-12-10 15:00:00+03:00,2024-12-10 18:59:59.999000+03:00,,,,-76.69790607386669,-1.9174476518466672,,,40.5160767360173,-0.9483923263982704,,,0.666,1.41,3.534946236559139,-4.646505376344087,,,,,,,,,Hold (Hala Buy),False,False
0.6923,0.7519,0.6014,0.6392,78365264.1,2024-12-10 19:00:00+03:00,2024-12-10 22:59:59.999000+03:00,,,,-79.00494621356867,-1.9751236553392169,,,43.12625826862237,-0.6873741731377628,,,0.6014,1.41,4.674746475389556,-4.532525352461045,,,,,,,,,Hold (Hala Buy),False,False
0.6391,0.7496,0.6337,0.7391,57703451.8,2024-12-10 23:00:00+03:00,2024-12-11 02:59:59.999000+03:00,,,,-24.534323498324216,-0.6133580874581055,,,35.60729404102898,-1.4392705958971022,,,0.6014,1.41,17.02943358891911,-3.297056641108089,,,,,,,,,Hold (Hala Buy),False,False
0.739,0.8643,0.648,0.6876,156439920.2,2024-12-11 03:00:00+03:00,2024-12-11 06:59:59.999000+03:00,,,,-29.037431786192855,-0.7259357946548215,,,18.26659352715305,-3.1733406472846952,,,0.6014,1.0389,19.702857142857138,-3.0297142857142867,,,,,,,,,Hold (Hala Buy),False,False
0.6873,0.7041,0.6488,0.6506,41866198.8,2024-12-11 07:00:00+03:00,2024-12-11 10:59:59.999000+03:00,,,,-52.699030077220094,-1.3174757519305025,,,22.928620610511818,-2.7071379389488186,,,0.6014,0.8891,17.101147028154298,-3.2898852971845702,,,,,,,,,Hold (Hala Buy),False,False
0.651,0.7005,0.64,0.6943,48826971.4,2024-12-11 11:00:00+03:00,2024-12-11 14:59:59.999000+03:00,,,,20.45713761024084,0.511428440256021,,,50.350631136044875,0.0350631136044874,,,0.6014,0.8643,35.33662989729936,-1.466337010270064,,,,,,,,,Hold (Hala Buy),False,False
0.6945,0.722,0.662,0.713,52108392.6,2024-12-11 15:00:00+03:00,2024-12-11 18:59:59.999000+03:00,,,,32.783533796316405,0.8195883449079102,-0.3076229725193683,-0.2982730846417712,64.71291866028707,1.471291866028707,-0.3390729775615386,-0.3266495365121079,0.6337,0.8643,34.388551604509956,-1.5611448395490044,-2.3954954583568657,-0.9835283353836248,-0.5361503188458348,,,,,,Hold (Hala Buy),False,False
0.7131,0.7247,0.6872,0.698,47578264.9,2024-12-11 19:00:00+03:00,2024-12-11 22:59:59.999000+03:00,,,,26.67339060255891,0.6668347650639728,-0.4963444509740429,-0.4592374071045116,37.613019891500905,-1.2386980108499095,-0.8214519985775923,-0.6758593951456243,0.64,0.8643,25.858225590726683,-2.414177440927332,-2.919292951793236,-0.994191003529144,-0.7097626019264268,,,,,,Hold (Hala Buy),False,False
0.6983,0.76,0.6958,0.75,40599245.6,2024-12-11 23:00:00+03:00,2024-12-12 02:59:59.999000+03:00,,,,90.803363428837,2.2700840857209252,-0.2534894783644983,-0.2481960096320705,68.74999999999999,1.874999999999999,-0.7569843014314851,-0.6392972180467938,0.64,0.76,91.66666666666666,4.166666666666666,-2.230075508543534,-0.9771430063465968,-0.6215454113418204,,,,,,Hold (Hala Buy),False,False
0.7502,0.7777,0.697,0.7046,43033900.1,2024-12-12 03:00:00+03:00,2024-12-12 06:59:59.999000+03:00,,,,-21.953306556111368,-0.5488326639027842,-0.1014211463707334,-0.1010748235266781,65.44622425629291,1.5446224256292909,-0.4799826623173115,-0.4462297249696675,0.64,0.7777,46.9135802469136,-0.3086419753086403,-1.7480906862062626,-0.9411578444787936,-0.496154130991713,,,,,,Hold (Hala Buy),False,False
0.7044,0.715,0.6939,0.6998,22849765.5,2024-12-12 07:00:00+03:00,2024-12-12 10:59:59.999000+03:00,,,,-41.29270590604775,-1.0323176476511935,0.0033350767057135,0.0033350643407086,52.023546725533464,0.2023546725533464,-0.3811239016849661,-0.3636831143275208,0.662,0.7777,32.6707000864304,-1.73292999135696,-1.4370245349724753,-0.8930971578424679,-0.4178150692764267,,,,,,Hold (Hala Buy),False,False
0.6996,0.7113,0.6726,0.6822,25939672.8,2024-12-12 11:00:00+03:00,2024-12-12 14:59:59.999000+03:00,,,,-64.60748312549285,-1.6151870781373212,-0.107979255591977,-0.1075615415382569,38.57566765578637,-1.1424332344213632,-0.3481419726321062,-0.3347267213821033,0.6726,0.7777,9.134157944814516,-4.086584205518548,-1.524749819906971,-0.9095218392467154,-0.4506033673890252,,,,,,Hold (Hala Buy),False,False
0.6826,0.6924,0.664,0.6747,21795822.1,2024-12-12 15:00:00+03:00,2024-12-12 18:59:59.999000+03:00,,,,-62.53819177040707,-1.5634547942601769,-0.2010369222147943,-0.1983716427760123,40.84838963079341,-0.9151610369206588,-0.0972331270361021,-0.0969278583210188,0.664,0.7777,9.410729991204873,-4.058927000879513,-1.6391067882586627,-0.9273475975442186,-0.4075490328804165,,,,,,Hold (Hala Buy),False,False
0.6747,0.6949,0.656,0.659,24876139.8,2024-12-12 19:00:00+03:00,2024-12-12 22:59:59.999000+03:00,,,,-89.66309155331425,-2.241577288832856,-0.3037148707595003,-0.2947085373389198,0.0,-5.0,-0.3519955782640112,-0.3381441363601367,0.656,0.7777,2.4650780608052627,-4.753492193919474,-1.801729776784763,-0.9469848526419656,-0.5266125087803407,,,,,,Hold (Hala Buy),False,False
0.6591,0.6639,0.6359,0.6489,18072754.7,2024-12-12 23:00:00+03:00,2024-12-13 02:59:59.999000+03:00,,,,-80.50693521363068,-2.0126733803407673,-0.5841706286035878,-0.5256901186212668,0.0,-5.0,-0.9114470353311764,-0.721826060650229,0.6359,0.715,16.434892541087258,-3.356510745891274,-2.0117490807426757,-0.9648483284013673,-0.7374548358909544,,,,,,Hold (Hala Buy),False,False
0.6488,0.6493,0.6102,0.6419,27347857.1,2024-12-13 03:00:00+03:00,2024-12-13 06:59:59.999000+03:00,,,,-76.3750906938318,-1.909377267345795,-0.8873890299651106,-0.7101017273501263,0.0,-5.0,-1.6304794648899217,-0.9261298316671182,0.6102,0.7113,31.355093966369967,-1.864490603363003,-2.0454541656108973,-0.9671021140321608,-0.8677778910164684,,,,,,Hold (Hala Buy),False,False
0.6419,0.6484,0.6259,0.6352,17819999.8,2024-12-13 07:00:00+03:00,2024-12-13 10:59:59.999000+03:00,,,,-72.1076791629272,-1.80269197907318,-1.1617808904247946,-0.8216194139752354,0.0,-5.0,-2.0484019081288207,-0.9672923299582248,0.6102,0.6949,29.51593860684773,-2.0484061393152273,-2.0048129098762195,-0.9643660431217748,-0.917759262351745,,,,,,Hold (Hala Buy),False,False
0.6353,0.6373,0.6186,0.631,16089265.2,2024-12-13 11:00:00+03:00,2024-12-13 14:59:59.999000+03:00,,,,-72.99094311239429,-1.8247735778098573,-1.616765075261548,-0.9241535220224084,0.0,-5.0,-2.8122907970177096,-0.9928097978517948,0.6102,0.6949,24.557260920897335,-2.5442739079102665,-2.7504729737181006,-0.9918673899031512,-0.9696102365924514,,,,,,Hold (Hala Buy),False,False
0.6308,0.6335,0.6038,0.6051,19255423.8,2024-12-13 15:00:00+03:00,2024-12-13 18:59:59.999000+03:00,,,,-108.9628782649976,-2.72407195662494,-1.858458330008454,-0.952536179304308,0.0,-5.0,-3.5394710665320748,-0.9983160907628026,0.6038,0.6639,2.163061564059845,-4.7836938435940155,-3.2477009590831423,-0.9969838194488684,-0.9826120298386596,,,,,,Hold (Hala Buy),False,False
0.605,0.6279,0.5924,0.6147,16852407.9,2024-12-13 19:00:00+03:00,2024-12-13 22:59:59.999000+03:00,-0.0311548975487119,,,-47.67011429436676,-1.1917528573591691,-1.87617335330934,-0.9541505066751952,17.9775280898877,-3.2022471910112302,-3.9177601624836953,-0.9992094396046266,0.5924,0.6493,39.191564147627425,-1.0808435852372575,-3.175246913958731,-0.996514316088984,-0.983291420789602,,,,,,Hold (Hala Buy),False,False
0.6149,0.6245,0.6118,0.6202,5793396.2,2024-12-13 23:00:00+03:00,2024-12-14 02:59:59.999000+03:00,-0.0314872362559573,,,-5.687207429098724,-0.1421801857274681,-1.7125059208193565,-0.936954277526822,29.09441233140653,-2.090558766859347,-4.023107443865693,-0.9993595810381726,0.5924,0.6484,49.64285714285708,-0.0357142857142918,-2.725150256202703,-0.9914467089194156,-0.97592018916147,,,,,,Hold (Hala Buy),False,False
0.6203,0.692,0.6101,0.6849,44058846.2,2024-12-14 03:00:00+03:00,2024-12-14 06:59:59.999000+03:00,-0.0262275331205404,,,113.84829518866036,2.8462073797165095,-1.2225434570441691,-0.8404028463204194,72.61146496815286,2.261146496815286,-3.670184384561699,-0.9987032189355396,0.5924,0.692,92.8714859437751,4.28714859437751,-1.7978085233963663,-0.9465785955877124,-0.9285615536145572,,,,,,Hold (Hala Buy),False,False
0.6848,0.6937,0.6433,0.6469,22484552.9,2024-12-14 07:00:00+03:00,2024-12-14 10:59:59.999000+03:00,-0.0248391328506778,,,25.93975147919353,0.6484937869798383,-0.9014244486205368,-0.7169907515265289,55.532359081419635,0.5532359081419636,-3.053158172545926,-0.9955524212419856,0.5924,0.6937,53.800592300098735,0.3800592300098735,-1.2274139207375503,-0.8418275709208871,-0.8514569145631339,,,,,,Hold (Hala Buy),False,False
0.647,0.6527,0.6247,0.6381,11549676.9,2024-12-14 11:00:00+03:00,2024-12-14 14:59:59.999000+03:00,-0.0241702821224301,,,-6.854753525527653,-0.1713688381381913,-0.6968350550424725,-0.6023550179859753,63.033175355450254,1.3033175355450255,-2.352789557485367,-0.9820727961401722,0.5924,0.6937,45.11352418558736,-0.4886475814412641,-0.9087624580208824,-0.720537742934361,-0.7683218523535028,,,,,,Hold (Hala Buy),False,False
