open_time,open,high,low,close,volume,RSI,Inverse_Fisher_RSI,MACD,MACD_signal,MACD_hist,upper_band,middle_band,lower_band,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786,ADX,Stochastic_%K,Stochastic_%D,ATR,ROC,CCI,Bollinger_Bands,Fibonacci,Volume_Avg,score,signal
2024-10-24 15:00:00+03:00,2.0,2.01,1.984,1.996,152712.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2721800000000005,3.76191,3.3495000000000004,2.9370900000000004,2.34993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,Hold
2024-10-24 19:00:00+03:00,2.0,2.026,1.992,2.02,228361.8,0.0,0.0,0.0019145299145297,0.0003829059829059,0.0015316239316238,0.0,0.0,0.0,4.2721800000000005,3.76191,3.3495000000000004,2.9370900000000004,2.34993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,Hold
2024-10-24 23:00:00+03:00,2.022,2.039,2.002,2.008,141177.9,0.0,0.0,0.0024354347773147,0.0007934117417877,0.001642023035527,0.0,0.0,0.0,4.2721800000000005,3.76191,3.3495000000000004,2.9370900000000004,2.34993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,Hold
2024-10-25 03:00:00+03:00,2.009,2.012,1.98,2.002,89229.9,0.0,0.0,0.0023371644016927,0.0011021622737687,0.001235002127924,0.0,0.0,0.0,4.2721800000000005,3.76191,3.3495000000000004,2.9370900000000004,2.34993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,Hold
2024-10-25 07:00:00+03:00,2.002,2.004,1.955,1.965,96252.5,0.0,0.0,-0.0007180293615631,0.0007381239467023,-0.0014561533082655,0.0,0.0,0.0,4.2721800000000005,3.76191,3.3495000000000004,2.9370900000000004,2.34993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,Hold
2024-10-25 11:00:00+03:00,1.965,1.996,1.95,1.981,114593.9,0.0,0.0,-0.0018271637417599,0.0002250664090098,-0.0020522301507698,0.0,0.0,0.0,4.2721800000000005,3.76191,3.3495000000000004,2.9370900000000004,2.34993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,Hold
2024-10-25 15:00:00+03:00,1.98,1.996,1.947,1.959,65175.7,0.0,0.0,-0.0044303070454267,-0.0007060082818774,-0.0037242987635493,0.0,0.0,0.0,4.2721800000000005,3.76191,3.3495000000000004,2.9370900000000004,2.34993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,Hold
2024-10-25 19:00:00+03:00,1.957,1.978,1.924,1.948,173736.1,0.0,0.0,-0.0072968118326823,-0.0020241689920384,-0.0052726428406439,0.0,0.0,0.0,4.2721800000000005,3.76191,3.3495000000000004,2.9370900000000004,2.34993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,Hold
2024-10-25 23:00:00+03:00,1.949,1.965,1.801,1.875,420021.6,0.0,0.0,-0.0152828561892766,-0.004675906431486,-0.0106069497577905,0.0,0.0,0.0,4.2721800000000005,3.76191,3.3495000000000004,2.9370900000000004,2.34993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,Hold
2024-10-26 03:00:00+03:00,1.873,1.89,1.85,1.888,142343.2,0.0,0.0,-0.020328527908098,-0.0078064307268084,-0.0125220971812895,0.0,0.0,0.0,4.2721800000000005,3.76191,3.3495000000000004,2.9370900000000004,2.34993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,Hold
