open_time,open,high,low,close,volume,RSI,Inverse_Fisher_RSI,MACD,MACD_signal,MACD_hist,upper_band,middle_band,lower_band,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786,ADX,Stochastic_%K,Stochastic_%D,ATR,ROC,CCI
2024-10-24 15:00:00+03:00,1.8836,1.9285,1.8831,1.9123,579482.53,,,0.0,0.0,0.0,,,,3.71796,3.2960200000000004,2.955,2.6139799999999997,2.12846,,,,,,
2024-10-24 19:00:00+03:00,1.913,1.9312,1.9032,1.925,354651.57,,,0.0010131054131055084,0.0002026210826211017,0.0008104843304844068,,,,3.71796,3.2960200000000004,2.955,2.6139799999999997,2.12846,,,,,,
2024-10-24 23:00:00+03:00,1.9245,1.9454,1.9002,1.9098,481235.84,,,0.0005827679970129562,0.0002786504654994726,0.00030411753151348363,,,,3.71796,3.2960200000000004,2.955,2.6139799999999997,2.12846,,,,,,
2024-10-25 03:00:00+03:00,1.9098,1.917,1.8777,1.891,218046.1,,,-0.0012607472776693385,-2.9229083134289604e-05,-0.001231518194535049,,,,3.71796,3.2960200000000004,2.955,2.6139799999999997,2.12846,,,,,,
2024-10-25 07:00:00+03:00,1.8892,1.8924,1.75,1.8398,1110405.63,,,-0.006775059845837372,-0.0013783952356749062,-0.005396664610162466,,,,3.71796,3.2960200000000004,2.955,2.6139799999999997,2.12846,,,,,,
2024-10-25 11:00:00+03:00,1.84,1.8498,1.785,1.8463,811790.28,,,-0.010499663027782713,-0.0032026487940964676,-0.007297014233686245,,,,3.71796,3.2960200000000004,2.955,2.6139799999999997,2.12846,,,,,,
2024-10-25 15:00:00+03:00,1.8469,1.8498,1.7778,1.8109,670277.58,,,-0.016122076768306348,-0.005786534388938444,-0.010335542379367905,,,,3.71796,3.2960200000000004,2.955,2.6139799999999997,2.12846,,,,,,
2024-10-25 19:00:00+03:00,1.8113,1.8187,1.7609,1.7839,960592.48,,,-0.022497220561955356,-0.009128671623541827,-0.013368548938413528,,,,3.71796,3.2960200000000004,2.955,2.6139799999999997,2.12846,,,,,,
2024-10-25 23:00:00+03:00,1.7828,1.7934,1.65,1.6893,1228584.28,,,-0.034782051504991474,-0.014259347599831758,-0.020522703905159714,,,,3.71796,3.2960200000000004,2.955,2.6139799999999997,2.12846,,,,,,
2024-10-26 03:00:00+03:00,1.6898,1.7766,1.6632,1.7399,877010.47,,,-0.03997407516115947,-0.0194022931120973,-0.02057178204906217,,,,3.71796,3.2960200000000004,2.955,2.6139799999999997,2.12846,,,,,,
2024-10-26 07:00:00+03:00,1.7399,1.7697,1.7223,1.7304,425467.22,,,-0.04434418970475362,-0.024390672430628566,-0.019953517274125056,,,,3.71796,3.2960200000000004,2.955,2.6139799999999997,2.12846,,,,,-9.512105841133723,
2024-10-26 11:00:00+03:00,1.7317,1.7421,1.709,1.7177,364860.7,,,-0.04827582714255807,-0.02916770337301447,-0.0191081237695436,,,,3.71796,3.2960200000000004,2.955,2.6139799999999997,2.12846,,,,,-10.76883116883117,
2024-10-26 15:00:00+03:00,1.7177,1.78,1.6869,1.6924,875876.94,,0.16129961441098858,-0.05282425160644988,-0.03389901301970155,-0.018925238586748327,,,,3.71796,3.2960200000000004,2.955,2.6139799999999997,2.12846,,,,,-11.38339093098754,
2024-10-26 19:00:00+03:00,1.6927,1.745,1.68,1.7216,516069.83,25.469513763828132,0.21457158168917753,-0.053456501524240085,-0.03781051072060926,-0.015645990803630827,,,,3.71796,3.2960200000000004,2.955,2.6139799999999997,2.12846,,24.238320920785405,,0.07073571428571436,-8.958223162347965,
