timestamp,open,high,low,close,volume,close_time,RSI,Inverse_Fisher_RSI,MACD,MACD_signal,MACD_hist,upper_band,middle_band,lower_band,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786
2024-11-23 11:00:00+03:00,3341.34,3402.98,3335.16,3354.65,105279.0199,2024-11-23 14:59:59.999000+03:00,,,0.0,0.0,0.0,,,,3870.4076,3723.5462,3604.8500000000004,3486.1538,3317.1626
2024-11-23 15:00:00+03:00,3354.65,3497.51,3349.68,3460.33,229525.4046,2024-11-23 18:59:59.999000+03:00,,,8.430313390313586,1.6860626780627173,6.744250712250869,,,,3870.4076,3723.5462,3604.8500000000004,3486.1538,3317.1626
2024-11-23 19:00:00+03:00,3460.34,3470.22,3377.0,3407.83,150136.8855,2024-11-23 22:59:59.999000+03:00,,,10.751153643233465,3.4990808710968673,7.252072772136598,,,,3870.4076,3723.5462,3604.8500000000004,3486.1538,3317.1626
2024-11-23 23:00:00+03:00,3407.82,3427.73,3379.2,3393.91,63371.6044,2024-11-24 02:59:59.999000+03:00,,,11.336528158845795,5.0665703286466535,6.269957830199141,,,,3870.4076,3723.5462,3604.8500000000004,3486.1538,3317.1626
2024-11-24 03:00:00+03:00,3393.91,3450.0,3389.03,3427.0,62941.932,2024-11-24 06:59:59.999000+03:00,,,14.305621831661028,6.9143806292495285,7.3912412024115,,,,3870.4076,3723.5462,3604.8500000000004,3486.1538,3317.1626
2024-11-24 07:00:00+03:00,3427.0,3431.99,3398.12,3422.51,50148.6763,2024-11-24 10:59:59.999000+03:00,,,16.110631155585452,8.753630734516713,7.357000421068738,,,,3870.4076,3723.5462,3604.8500000000004,3486.1538,3317.1626
2024-11-24 11:00:00+03:00,3422.51,3428.35,3339.11,3344.22,99770.3421,2024-11-24 14:59:59.999000+03:00,,,11.095859188226314,9.222076425258633,1.8737827629676804,,,,3870.4076,3723.5462,3604.8500000000004,3486.1538,3317.1626
2024-11-24 15:00:00+03:00,3344.22,3357.32,3281.4,3294.39,147537.1334,2024-11-24 18:59:59.999000+03:00,,,3.0654155193469705,7.990744244076301,-4.92532872472933,,,,3870.4076,3723.5462,3604.8500000000004,3486.1538,3317.1626
2024-11-24 19:00:00+03:00,3294.39,3334.19,3287.19,3326.63,63212.5803,2024-11-24 22:59:59.999000+03:00,,,-0.6893242841265419,6.254730538435733,-6.944054822562275,,,,3870.4076,3723.5462,3604.8500000000004,3486.1538,3317.1626
2024-11-24 23:00:00+03:00,3326.64,3372.22,3321.51,3361.2,55487.428,2024-11-25 02:59:59.999000+03:00,,,-0.8654956482828311,4.8306853010920205,-5.696180949374852,,,,3870.4076,3723.5462,3604.8500000000004,3486.1538,3317.1626
