open_time,open,high,low,close,volume,RSI,Inverse_Fisher_RSI,MACD,MACD_signal,MACD_hist,upper_band,middle_band,lower_band,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786,ADX,Stochastic_%K,Stochastic_%D,ATR,ROC,CCI
2024-10-24 15:00:00+03:00,8.206,8.303,8.186,8.25,6244.13,,,0.0,0.0,0.0,,,,11.312912,10.516044,9.872,9.227956,8.311012,,,,,,
2024-10-24 19:00:00+03:00,8.248,8.398,8.238,8.398,2912.33,,,0.011806267806267812,0.0023612535612535625,0.00944501424501425,,,,11.312912,10.516044,9.872,9.227956,8.311012,,,,,,
2024-10-24 23:00:00+03:00,8.393,8.439,8.359,8.42,3062.71,,,0.02267663411823051,0.0064243296726489525,0.016252304445581556,,,,11.312912,10.516044,9.872,9.227956,8.311012,,,,,,
2024-10-25 03:00:00+03:00,8.417,8.493,8.377,8.377,6914.22,,,0.027504680270128645,0.010640399792144891,0.016864280477983752,,,,11.312912,10.516044,9.872,9.227956,8.311012,,,,,,
2024-10-25 07:00:00+03:00,8.378,8.384,8.27,8.301,3920.95,,,0.024911215799164665,0.013494562993548847,0.011416652805615818,,,,11.312912,10.516044,9.872,9.227956,8.311012,,,,,,
2024-10-25 11:00:00+03:00,8.304,8.391,8.249,8.384,3637.87,,,0.029216493312805625,0.016638949057400203,0.012577544255405422,,,,11.312912,10.516044,9.872,9.227956,8.311012,,,,,,
2024-10-25 15:00:00+03:00,8.386,8.401,8.201,8.216,2800.28,,,0.018854913093433012,0.017082141864606767,0.0017727712288262455,,,,11.312912,10.516044,9.872,9.227956,8.311012,,,,,,
2024-10-25 19:00:00+03:00,8.22,8.254,8.064,8.114,6715.79,,,0.0023852429717763357,0.014142762086040681,-0.011757519114264346,,,,11.312912,10.516044,9.872,9.227956,8.311012,,,,,,
2024-10-25 23:00:00+03:00,8.109,8.22,7.831,7.895,13376.04,,,-0.028015612456549377,0.005711087177522669,-0.033726699634072044,,,,11.312912,10.516044,9.872,9.227956,8.311012,,,,,,
2024-10-26 03:00:00+03:00,7.901,7.908,7.768,7.897,7730.18,,,-0.051355136083225617,-0.005702157474626988,-0.04565297860859863,,,,11.312912,10.516044,9.872,9.227956,8.311012,,,,,,
2024-10-26 07:00:00+03:00,7.896,7.936,7.87,7.885,1919.02,,,-0.07001310888380452,-0.018564347756462495,-0.05144876112734202,,,,11.312912,10.516044,9.872,9.227956,8.311012,,,,,-4.424242424242427,
2024-10-26 11:00:00+03:00,7.879,7.924,7.837,7.916,3996.36,,,-0.08136037408216268,-0.031123553021602534,-0.05023682106056014,,,,11.312912,10.516044,9.872,9.227956,8.311012,,,,,-5.739461776613472,
2024-10-26 15:00:00+03:00,7.916,7.943,7.745,7.817,6158.1,,0.23688758638971283,-0.0972209337209673,-0.044343029161475485,-0.05287790455949181,,,,11.312912,10.516044,9.872,9.227956,8.311012,,,,,-7.16152019002375,
2024-10-26 19:00:00+03:00,7.817,7.891,7.787,7.888,1928.94,33.17843866171006,0.22589679422307368,-0.10287554957791123,-0.05604953324476264,-0.04682601633314859,,,,11.312912,10.516044,9.872,9.227956,8.311012,,19.117647058823497,,0.15021428571428577,-5.837411961322678,
2024-10-26 23:00:00+03:00,7.888,7.916,7.845,7.882,1768.92,32.99445471349355,0.20317710335752973,-0.10661206570995674,-0.06616203973780146,-0.040450025972155274,,,,11.312912,10.516044,9.872,9.227956,8.311012,,18.31550802139031,,0.14692857142857146,-5.0475846283580355,
