timestamp,open,high,low,close,volume
2024-11-22 16:00:00,0.9976,0.9981,0.9975,0.9977,188269444.0
2024-11-22 20:00:00,0.9977,0.998,0.9976,0.9979,103021764.0
2024-11-23 00:00:00,0.9979,0.998,0.9978,0.9979,116363418.0
2024-11-23 04:00:00,0.9978,0.9979,0.9975,0.9976,107300710.0
2024-11-23 08:00:00,0.9975,0.9978,0.9973,0.9973,108019469.0
2024-11-23 12:00:00,0.9974,0.9976,0.997,0.997,129706509.0
2024-11-23 16:00:00,0.997,0.9976,0.9969,0.9973,154104241.0
2024-11-23 20:00:00,0.9973,0.9974,0.9971,0.9973,60701398.0
2024-11-24 00:00:00,0.9972,0.9976,0.9972,0.9973,61369784.0
2024-11-24 04:00:00,0.9972,0.9974,0.997,0.9971,60351121.0
2024-11-24 08:00:00,0.9971,0.9975,0.9964,0.9965,156812597.0
2024-11-24 12:00:00,0.9966,0.9972,0.9964,0.9969,214808374.0
2024-11-24 16:00:00,0.9969,0.9974,0.9967,0.9969,130279284.0
2024-11-24 20:00:00,0.9969,0.9974,0.9969,0.9972,70783349.0
2024-11-25 00:00:00,0.9972,0.9976,0.9971,0.9975,73404673.0
2024-11-25 04:00:00,0.9976,0.9978,0.9973,0.9975,102842944.0
2024-11-25 08:00:00,0.9976,0.9981,0.9974,0.9977,118775196.0
2024-11-25 12:00:00,0.9977,0.998,0.9973,0.9975,256869315.0
2024-11-25 16:00:00,0.9974,0.9976,0.9971,0.9973,117807951.0
2024-11-25 20:00:00,0.9973,0.9976,0.9971,0.9974,106124167.0
2024-11-26 00:00:00,0.9975,0.9981,0.9973,0.9977,115480685.0
2024-11-26 04:00:00,0.9977,0.998,0.9974,0.9975,60527190.0
2024-11-26 08:00:00,0.9974,0.9976,0.9971,0.9973,276675600.0
2024-11-26 12:00:00,0.9974,0.9976,0.9972,0.9973,271364494.0
2024-11-26 16:00:00,0.9973,0.9976,0.997,0.9972,145178508.0
2024-11-26 20:00:00,0.9973,0.9974,0.9971,0.9974,131044271.0
2024-11-27 00:00:00,0.9974,0.9983,0.9972,0.9975,151124770.0
