timestamp,open,high,low,close,volume
2024-11-22 16:00:00,0.2224,0.226,0.213,0.2153,5417045.0
2024-11-22 20:00:00,0.2154,0.226,0.2112,0.2189,6036914.0
2024-11-23 00:00:00,0.2189,0.2272,0.214,0.2253,7822939.0
2024-11-23 04:00:00,0.2253,0.2309,0.218,0.2308,6850035.0
2024-11-23 08:00:00,0.2309,0.2392,0.2204,0.2245,9029206.0
2024-11-23 12:00:00,0.2245,0.2288,0.22,0.2243,10304398.0
2024-11-23 16:00:00,0.2244,0.2259,0.215,0.2206,7719249.0
2024-11-23 20:00:00,0.2206,0.225,0.2165,0.2195,3791366.0
2024-11-24 00:00:00,0.2198,0.2343,0.219,0.2257,6358818.0
2024-11-24 04:00:00,0.2257,0.2298,0.222,0.2257,4957634.0
2024-11-24 08:00:00,0.2257,0.2298,0.2169,0.2178,6037858.0
2024-11-24 12:00:00,0.2178,0.2199,0.2138,0.2155,6514727.0
2024-11-24 16:00:00,0.2155,0.2239,0.214,0.2198,5203107.0
2024-11-24 20:00:00,0.2195,0.225,0.218,0.2212,3379729.0
2024-11-25 00:00:00,0.2212,0.2279,0.22,0.2256,4681246.0
2024-11-25 04:00:00,0.2256,0.27,0.224,0.255,38875148.0
2024-11-25 08:00:00,0.2551,0.264,0.235,0.2416,18674454.0
2024-11-25 12:00:00,0.2411,0.245,0.2259,0.2332,10879140.0
2024-11-25 16:00:00,0.2333,0.2555,0.2305,0.2396,10419453.0
2024-11-25 20:00:00,0.2396,0.25,0.2322,0.241,6159431.0
2024-11-26 00:00:00,0.2401,0.2531,0.2341,0.2522,6713683.0
2024-11-26 04:00:00,0.2522,0.2649,0.241,0.242,13942348.0
2024-11-26 08:00:00,0.242,0.2486,0.2275,0.2335,9840907.0
2024-11-26 12:00:00,0.2339,0.2465,0.228,0.2391,7121663.0
2024-11-26 16:00:00,0.2393,0.2483,0.2369,0.2417,4375742.0
2024-11-26 20:00:00,0.2414,0.2493,0.2371,0.2463,3428531.0
2024-11-27 00:00:00,0.2463,0.255,0.243,0.2521,5273402.0
2024-11-27 04:00:00,0.2518,0.2519,0.242,0.247,3842508.0
2024-11-27 08:00:00,0.247,0.2639,0.2411,0.2621,15995329.0
2024-11-27 12:00:00,0.262,0.265,0.2515,0.2617,12411461.0
2024-11-27 16:00:00,0.2612,0.328,0.2555,0.2985,40761982.0
2024-11-27 20:00:00,0.2984,0.3,0.2726,0.2909,20548863.0
2024-11-28 00:00:00,0.2909,0.33,0.28,0.3187,27218549.0
2024-11-28 04:00:00,0.3187,0.319,0.2953,0.3029,15906093.0
2024-11-28 08:00:00,0.3021,0.3298,0.295,0.3213,19182855.0
2024-11-28 12:00:00,0.3213,0.3213,0.3,0.3051,13860291.0
2024-11-28 16:00:00,0.305,0.312,0.2851,0.3064,10555074.0
2024-11-28 20:00:00,0.3064,0.3095,0.2944,0.3066,4594219.0
