timestamp,open,high,low,close,volume,RSI,Inverse_Fisher_RSI,MACD,MACD_signal,MACD_hist,upper_band,middle_band,lower_band,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786,Volume_Avg,signal,score
2024-11-22 16:00:00,1.4417,1.4915,1.402,1.4363,184825179.0,0.0,,0.0,0.0,0.0,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,,Hold,25
2024-11-22 20:00:00,1.4363,1.4913,1.428,1.4726,118953865.0,99.99999944903581,,0.0028957264957263362,0.0005791452991452672,0.002316581196581069,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,,Hold,-15
2024-11-23 00:00:00,1.4726,1.63,1.4692,1.5654,400034300.71,99.999999767622,,0.012534307351401264,0.0029701777095964667,0.009564129641804798,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,,Hold,-15
2024-11-23 04:00:00,1.5654,1.5661,1.4899,1.5441,192626469.0,85.83776572915495,,0.018243915630332674,0.006024925293743709,0.012218990336588966,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,,Hold,-15
2024-11-23 08:00:00,1.5444,1.5777,1.5077,1.5443,119948599.0,85.85657342013097,,0.0225253019955316,0.009325000634101287,0.013200301361430312,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,,Hold,-15
2024-11-23 12:00:00,1.5444,1.5954,1.5227,1.5557,149012308.0,86.8518515301784,,0.026532367643530508,0.012766474035987132,0.013765893607543376,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,,Hold,-15
2024-11-23 16:00:00,1.5557,1.5764,1.4033,1.4752,277886460.0,58.020618389218875,,0.022947790955853975,0.0148027374199605,0.008145053535893475,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,,Hold,20
2024-11-23 20:00:00,1.4751,1.4966,1.4206,1.4685,104425509.0,56.46067397604919,0.5113874419799745,0.019343375705328514,0.015710865077034102,0.0036325106282944115,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,,Hold,20
2024-11-24 00:00:00,1.4686,1.513,1.4403,1.4724,115297604.0,57.13156834682571,0.517129773401084,0.01661007742408671,0.015890707546444626,0.000719369877642085,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,,Hold,20
2024-11-24 04:00:00,1.4725,1.4828,1.4362,1.4649,71788729.0,55.487336701890534,0.5007272211036287,0.0136810251818138,0.015448771073518462,-0.0017677458917046626,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,,Hold,-40
2024-11-24 08:00:00,1.4649,1.4685,1.3784,1.3833,142122749.0,42.25599051291179,0.353194947421979,0.004720872853174685,0.013303191429449707,-0.008582318576275023,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,,Hold,-40
2024-11-24 12:00:00,1.3833,1.4033,1.2775,1.3077,327295128.0,34.609861078190946,0.2656804904245464,-0.008383757864171448,0.008965801570725476,-0.017349559434896925,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,,Hold,-40
2024-11-24 16:00:00,1.3078,1.4062,1.2984,1.3791,167776363.0,44.15372024243697,0.4098896354678301,-0.012859650786716914,0.004600711099236998,-0.01746036188595391,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,,Hold,-40
2024-11-24 20:00:00,1.3791,1.4607,1.3728,1.4331,136347497.0,49.705449061878454,0.4844305674179152,-0.011912163466355485,0.0012981361861185018,-0.013210299652473986,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,179167197.12214285,Hold,-45
2024-11-25 00:00:00,1.4334,1.4342,1.355,1.4027,98618862.0,47.07112959222529,0.4438312602901078,-0.013459150170159306,-0.00165332108513706,-0.011805829085022247,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,173009603.05071428,Hold,-45
2024-11-25 04:00:00,1.4027,1.5064,1.4015,1.4793,144893660.0,50.54569136542766,0.5326757951032521,-0.008407254850687718,-0.0030041078382471915,-0.0054031470124405265,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,174862445.55071428,Hold,-45
2024-11-25 08:00:00,1.4792,1.5393,1.4652,1.479,138374272.0,41.714614387417626,0.5322417480631382,-0.004377339659070945,-0.0032787542024119423,-0.0010985854566590023,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,156172443.5,Hold,-45
2024-11-25 12:00:00,1.479,1.4868,1.3732,1.423,185652693.0,39.1116704643835,0.4505812088970962,-0.0056373509515754705,-0.0037504735522446483,-0.0018868773993308222,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,155674316.64285713,Hold,-35
2024-11-25 16:00:00,1.423,1.5243,1.4113,1.475,222756827.0,44.30004924819862,0.5154230692899737,-0.0024121478223233517,-0.003482808406260389,0.0010706605839370374,,,,2.5241188,2.2858906,2.09335,1.9008094,1.6266838,163017761.5,Hold,25
